name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev cb76889b90),lean,64c80c83,,899232,12,4.91s,242.57ms,10.00ms,259.95ms,41.62ms,231.91ms,385.67ms
curated/01-literal/sherlock-en,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,899232,56535,4.62s,45.03us,380.00ns,52.88us,24.16us,44.08us,2.72ms
curated/01-literal/sherlock-en,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,899232,89,4.56s,32.58ms,1.15ms,33.83ms,3.13ms,30.70ms,47.31ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,899232,12617,4.56s,217.28us,1.56us,237.58us,55.49us,214.10us,2.10ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,899232,81,4.56s,35.55ms,2.33ms,37.24ms,4.78ms,32.36ms,51.18ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev cb76889b90),lean,64c80c83,,1570556,13,5.01s,242.97ms,2.85ms,248.39ms,15.05ms,235.25ms,283.63ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,1570556,35724,4.56s,74.64us,491.00ns,83.82us,26.91us,73.21us,1.32ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,1570556,95,4.56s,30.85ms,1.08ms,31.71ms,2.52ms,29.16ms,40.47ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,1570556,6442,4.56s,447.94us,16.46us,465.60us,67.59us,424.72us,1.25ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev cb76889b90),lean,64c80c83,,813478,34,4.61s,88.41ms,1.53ms,89.09ms,3.01ms,86.03ms,102.83ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,813478,91469,4.62s,29.79us,140.00ns,32.66us,11.05us,29.31us,1.26ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,813478,251,4.56s,11.59ms,364.84us,11.98ms,1.01ms,10.97ms,17.64ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev cb76889b90),lean,64c80c83,,899232,5,5.86s,723.06ms,6.86ms,727.22ms,13.40ms,715.87ms,752.28ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,899232,13949,4.56s,198.96us,1.68us,214.89us,42.45us,195.84us,1.53ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,899232,44,4.56s,68.18ms,1.84ms,68.94ms,3.17ms,65.45ms,79.20ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,899232,4807,4.51s,601.66us,15.77us,623.94us,84.75us,577.22us,1.90ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,899232,33,4.66s,89.62ms,1.90ms,91.68ms,5.74ms,87.37ms,112.69ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev cb76889b90),lean,64c80c83,,1570556,5,5.31s,741.47ms,5.79ms,741.68ms,8.56ms,728.48ms,753.66ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,1570556,5838,4.56s,497.72us,13.23us,513.70us,60.91us,476.79us,1.31ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,1570556,43,4.66s,70.87ms,1.50ms,71.25ms,2.64ms,68.12ms,81.26ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,1570556,1715,4.51s,1.63ms,57.29us,1.75ms,351.84us,1.55ms,9.74ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev cb76889b90),lean,64c80c83,,813478,11,5.11s,289.84ms,5.44ms,296.08ms,20.47ms,277.68ms,347.35ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,813478,17632,4.56s,159.97us,712.00ns,169.98us,29.09us,157.00us,1.07ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,813478,113,4.56s,25.96ms,789.78us,26.60ms,1.90ms,24.69ms,35.15ms
curated/03-date/ascii,count-spans,0.1.0 (rev cb76889b90),lean,64c80c83,,268796,1,21.95s,11.03s,0.00ns,11.03s,0.00ns,11.03s,11.03s
curated/03-date/ascii,count-spans,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,268796,728,4.56s,4.04ms,62.65us,4.13ms,242.94us,3.94ms,6.05ms
curated/03-date/ascii,count-spans,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,268796,5,5.36s,666.67ms,7.40ms,665.33ms,11.85ms,648.27ms,684.45ms
curated/03-date/unicode,count-spans,0.1.0 (rev cb76889b90),lean,64c80c83,,268796,1,21.70s,10.72s,0.00ns,10.72s,0.00ns,10.72s,10.72s
curated/03-date/unicode,count-spans,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,268796,713,4.56s,4.09ms,92.35us,4.21ms,308.80us,3.96ms,5.95ms
curated/03-date/compile-ascii,compile,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,,483,4.51s,3.28ms,118.41us,3.45ms,420.00us,3.08ms,6.28ms
curated/03-date/compile-ascii,compile,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,,887,4.51s,831.74us,38.42us,884.02us,256.60us,757.82us,6.41ms
curated/03-date/compile-unicode,compile,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,,165,4.51s,13.42ms,469.16us,13.64ms,928.97us,12.21ms,18.58ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,32514634,64,4.66s,45.75ms,2.64ms,47.48ms,5.07ms,41.56ms,65.32ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,32514634,1,6.37s,3.06s,0.00ns,3.06s,0.00ns,3.06s,3.06s
